BIBTEXKEY,DATE,TITLE,AUTHOR,JOURNALTITLE,BOOKTITLE,CATEGORY,DOI,EDITOR,PUBLISHER
Sgaravatti2012-SGADTE,2012,Down to Earth Philosophy: An Anti-Exceptionalist Essay on Thought Experiments and Philosophical Methodology,"Sgaravatti, Daniele",NA,NA,UNPUBLISHED,NA,,University of St Andrews
Foglietta2010-FOGLPD,2010,La Pragmatica Del Vuoto in Nagarjuna,"Foglietta, Giacomo",Nóema,NA,ARTICLE,10.13130/2239-5474/966,,University of Milano
Cath2011-CATM,2011,Metaphilosophy,"Cath, Yuri",NA,Oxford Bibliographies in Philosophy,INCOLLECTION,NA,,NA
Slingerland2011-SLITPO-4,2011,The Prevalence of Mind?Body Dualism in Early China,"Slingerland, Edward, Chudek, Maciej",Cognitive Science,NA,ARTICLE,10.1111/j.1551-6709.2011.01186.x,,NA
Sytsma2010-SYTTPP-4,2010,The Proper Province of Philosophy,"Sytsma, Justin",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-010-0032-1,,Springer Netherlands
Seeger2010-SEEEPA,2010,Experimental Philosophy and the Twin Earth Intuition,"Seeger, Max",Grazer Philosophische Studien,NA,ARTICLE,10.1163/18756735-90000879,,Editions Rodopi
Brooks2011-BRONWI,2011,New Waves in Ethics,NA,NA,NA,BOOK,NA,,Palgrave-Macmillan
Jacob2012-JACODT,2012,On Doing Things Intentionally,"Jacob, Pierre, Florian, Cova, Emmanuel, Dupoux",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2012.01449.x,,Wiley-Blackwell
Machery2012-MACSEA-18,2012,Semantic Epistemology: A Brief Response to Devitt,"Machery, Edouard",Theoria,NA,ARTICLE,10.5840/theoria201227216,,University of the Basque Country
Aldridge-Sutton2011-ALDEPO,2011,Experimental Philosophy on Free Will and Determinism,"Aldridge{-}Sutton, Robin",NA,NA,UNPUBLISHED,NA,,Victoria University of Wellington
Cameron2010-CAMDTO,2010,Do Theories of Implicit Race Bias Change Moral Judgments?,"Cameron, C. Daryl, Knobe, Joshua, Payne, B. Keith",Social Justice Research,NA,ARTICLE,NA,,NA
Kreps2010-KREAMS,2010,Are Mental States Assessed Relative to What Most People ?Should? or ?Would? Think? Prescriptive and Descriptive Components of Expected Attitudes,"Kreps, Tamar A., Monin, Benoît, Knobe, Joshua",Behavioral and Brain Sciences,NA,ARTICLE,10.1017/s0140525x10001792,,NA
Matchett2010-MATAMO-4,2010,A Manual of Experimental Philosophy,"Matchett, Nancy",Philosophical Practice,NA,ARTICLE,NA,,American Philosophical Practitioners Assoc.
Feltz2012-FELTVO,2012,The Virtues of Ignorance,"Feltz, Adam, Cokely, Edward T.",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-012-0107-2,,Springer Verlag
Heinzelmann2012-HEIPIO-3,2012,Practical Implications of Empirically Studying Moral Decision-Making,"Heinzelmann, Nora, Ugazio, Giuseppe, Tobler, Philippe",Frontiers in Neuroscience,NA,ARTICLE,NA,,NA
Haselager2010-HASEFK,2010,"Experimentele Filosofie, Kunstmatige Intelligentie En Cognitieve Neurowetenschap","Haselager, Pim",Algemeen Nederlands Tijdschrift voor Wijsbegeerte,NA,ARTICLE,NA,,Algemene Nederlandse Vereniging Voor Wijsbegeerte
Cowley-Cunningham2010-COWAIP-2,2010,Asymmetries in Prior Conviction Reasoning: Truth Suppression Effects in Child Protection Contexts,"Cowley{-}Cunningham, Michelle B.","Psychology, Crime and Law",NA,ARTICLE,NA,,NA
Orenes2012-ORELMA,2012,"Logic, Models, and Paradoxical Inferences","Orenes, Isabel, Johnson{-}Laird, P. N.",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2012.01448.x,,Blackwell
Guttenplan2011-GUTEP,2011,Experimental Philosophy,"Guttenplan, Samuel",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2011.01425.x,,Wiley-Blackwell
Gillespie2011-GILACT-12,2011,Assessing Critical Thinking About Values,"Gillespie, Michael",Inquiry: Critical Thinking Across the Disciplines,NA,ARTICLE,10.5840/inquiryctnews20112614,,Philosophy Documentation Center
Freiman2010-FREIDI-4,2010,Is Desert in the Details?1,"Freiman, Christopher, Nichols, Shaun",Philosophy and Phenomenological Research,NA,ARTICLE,10.1111/j.1933-1592.2010.00387.x,,Blackwell
