BIBTEXKEY,DATE,TITLE,AUTHOR,JOURNALTITLE,BOOKTITLE,CATEGORY,DOI,EDITOR,PUBLISHER
Glasgow2009-GLATOC,2009,The Ordinary Conception of Race in the United States and its Relation to Racial Attitudes: A New Approach,"Glasgow, Joshua, Shulman, Julie, Covarrubias, Enrique",Journal of Cognition and Culture,NA,ARTICLE,10.1163/156853709x414610,,Brill Academic Publishers
StaceySwain2008-STATIO-24,2008,The Instability of Philosophical Intuitions: Running Hot and Cold on Truetemp,"Swain, Joshua Alexander Stacey",Philosophy and Phenomenological Research,NA,ARTICLE,10.1111/phpr.2008.76.issue-1,,Wiley-Blackwell
Deutsch2009-DEUEPA,2009,Experimental Philosophy and the Theory of Reference,"Deutsch, Max",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2009.01370.x,,Wiley-Blackwell
Fugard2009-KLEHPI,2009,How People Interpret an Uncertain If,"Fugard, Andrew Jb, Pfeifer, Niki, Mayerhofer, Bastian, Kleiter, Gernot D.",NA,Proceedings of the 8th Workshop on Uncertainty Processing,INCOLLECTION,NA,,NA
Greenfield2008-GRETEO-23,2008,The Effect of Ethical Orientation and Professional Commitment on Earnings Management Behavior,"Greenfield, A. C., Norman, Carolyn Strand, Wier, Benson",Journal of Business Ethics,NA,ARTICLE,10.1007/s10551-007-9629-4,,Springer Verlag
Macher2008-MACSCS-4,2008,"Semantics, Cross-Cultural Style","Macher, Edouard, Mallon, Ron, Nichols, Shaun, Stich, Stephen",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Roxborough2009-ROXFPC,2009,Folk Psychological Concepts: Causation,"Roxborough, Craig, Cumby, Jill",Philosophical Psychology,NA,ARTICLE,10.1080/09515080902802769,,NA
Sommers2009-SOMAVB-2,2009,A Very Bad Wizard: Morality Behind the Curtain,"Sommers, Tamler",NA,NA,BOOK,NA,,Routledge
Sousa2009-SOUACA,2009,A Cognitive Approach to Moral Responsibility: The Case of a Failed Attempt to Kill,"Sousa, Paulo",Journal of Cognition and Culture,NA,ARTICLE,10.1163/156770909x12489459066183,,Brill Academic Publishers
Feltz2007-FELAAI,2007,An Anomaly in Intentional Action Ascription: More Evidence of Folk Diversity,"Feltz, Adam, Cokely, Edward",NA,Proceedings of the 29th Annual Cognitive Science Society,INCOLLECTION,NA,,Cognitive Science Society
Nadelhoffer2007-NADFIS,2007,"Folk Intuitions, Slippery Slopes, and Necessary Fictions : An Essay on Saul Smilansky's Free Will Illusionism","Nadelhoffer, Thomas",NA,Philosophy and the Empirical,INCOLLECTION,NA,,Blackwell
Weinberg2008-WEINAE-4,2008,Normativity and Epistemic Institutions,"Weinberg, Jonathan M., Nichols, Shaun, Stich, Stephen P.",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Sommers2007-SOMTIO-2,2007,The Illusion of Freedom Evolves,"Sommers, Tamler",NA,Distributed Cognition and the Will: Individual Volition and Social Context,INCOLLECTION,NA,,MIT Press
Aguiar2008-AGUMDI,2008,Moral Distance in Dictators Games,"Aguiar, Fernando, Brañas{-}Garza, Pablo, Miller, Luis",Judgment and Decision Making,NA,ARTICLE,NA,,NA
Zamzow2009-NICVIE,2009,Variations in Ethical Intuitions,"Zamzow, Jennifer, Nichols, Shaun",NA,Metaethics,INCOLLECTION,NA,,Wiley Periodicals
Kirsch2009-KIRJKA,2009,"Joshua Knobe and Shaun Nichols, Eds., Experimental Philosophy","Kirsch, Julie E.",Philosophy in Review,NA,ARTICLE,NA,,"University of Victoria, Department of Philosophy"
Bulbulia2008-BULRST,2008,Religious Solidarity: The Hand Grenade Experiment,"Bulbulia, Joseph, Mahoney, Andrew",Journal of Cognition and Culture,NA,ARTICLE,10.1163/156853708x358191,,Brill Academic Publishers
Bugaiska2007-ABUTEO,2007,The Effect of Aging in Recollective Experience: The Processing Speed and Executive Functioning Hypothesis,"Bugaiska, Aurélia, Clarys, David, Jarry, Caroline, Taconnat, Laurence, Tapia, Géraldine, Vanneste, Sandrine, Isingrini, Michel",Consciousness and Cognition,NA,ARTICLE,10.1016/j.concog.2006.11.007,,Elsevier
Machamer2009-MACPAT-10,2009,Philosophy and the Brain Sciences,"Machamer, Peter, Sytsma, Justin",Iris. European Journal of Philosophy and Public Debate,NA,ARTICLE,NA,,NA
Stotz2009-STOEPO-5,2009,Experimental Philosophy of Biology: Notes From the Field,"Stotz, Karola",Studies in History and Philosophy of Science Part A,NA,ARTICLE,10.1016/j.shpsa.2009.03.008,,Elsevier
Bengson2009-BENTFO,2009,The Folk on Knowing How,"Bengson, John, Moffett, Marc A., Wright, Jennifer C.",Philosophical Studies,NA,ARTICLE,10.1007/s11098-007-9193-x,,Springer
Schalike2008-SCHAAU,2008,"Alltagspsychologie, Absichtlichkeit Und Werturteil","Schälike, Julius",Facta Philosophica,NA,ARTICLE,10.3726/93528\_83,,Peter Lang Ag
Nadelhoffer2007-NADFBS,2007,"Fringe Benefits, Side Effects, and Indifference: A Reply to Feltz","Nadelhoffer, Thomas",Journal of Theoretical and Philosophical Psychology,NA,ARTICLE,10.1037/h0091288,,Apa Division 24 (Society for Theoretical and Philosophical Psychology)
Vargas2009-VARRAR,2009,Reasons and Real Selves,"Vargas, Manuel",Ideas Y Valores,NA,ARTICLE,NA,,Universidad Nacional de Colombia
Kimbrough2009-KIMECI-2,2009,Explaining Compatibilist Intuitions About Moral Responsibility: A Critique of Nichols and Knobe's Performance Error Model,"Kimbrough, Scott",Florida Philosophical Review,NA,ARTICLE,NA,,Florida Philosophical Association
Schwitzgebel2009-SCHTMB-7,2009,The Moral Behaviour of Ethicists: Peer Opinion,"Schwitzgebel, Eric, Rust, J.",Mind,NA,ARTICLE,10.1093/mind/fzp108,,Oxford University Press
Butterworth2008-BUTVCA,2008,Verbal Counting and Spatial Strategies in Numerical Tasks: Evidence From Indigenous Australia,"Butterworth, Brian, Reeve, Robert",Philosophical Psychology,NA,ARTICLE,10.1080/09515080802284597,,NA
Johnson-Laird2009-JOHTMM-7,2009,The Mental Model Theory of Conditionals: A Reply to Guy Politzer,"Johnson{-}Laird, Philip N., Byrne, Ruth M. J., Girotto, Vittorio",Topoi,NA,ARTICLE,10.1007/s11245-008-9049-9,,Springer Verlag
Weinberg2007-WEIHTC,2007,How to Challenge Intuitions Empirically Without Risking Skepticism,"Weinberg, Jonathan M.",Midwest Studies in Philosophy,NA,ARTICLE,10.1111/j.1475-4975.2007.00157.x,,NA
Larson2009-LARDTS,2009,Distinguishing the Said From the Implicated Using a Novel Experimental Paradigm,"Larson, Meredith, Doran, Ryan, McNabb, Yaron, Baker, Rachel, Berends, Matthew, Djalali, Alex, Ward, Gregory",NA,Semantics and pragmatics: from experiment to theory,INCOLLECTION,NA,,Palgrave-Macmillan
Williamson2007-WILEPO-4,2007,Experimental Philosophy,"Williamson, Timothy",NA,The Philosophy of Philosophy,INCOLLECTION,NA,,Wiley-Blackwell
Prinz2008-PRIEPA-2,2008,Empirical Philosophy and Experimental Philosophy,"Prinz, Jesse J.",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Sosa2009-SOSADO-3,2009,A Defense of the Use of Intuitions in Philosophy,"Sosa, Ernest",NA,Stich and His Critics,INCOLLECTION,NA,,Wiley-Blackwell
Weinberg2008-WEINAE-2,2008,Normativity and Epistemic Intuitions,"Weinberg, Jonathan M., Nichols, Shaun, Stich, Stephen P.",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
